Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"   183 Istria",35.43,.3509741983798385,2.791161528117001,4.66321734684781,0.1890,11.77,
"   184 Dejopeja",66.47,.06688270725990147,3.18728716061802,5.69036326657308,0.1897,6.455,
"   185 Eunike",157.51,.1292953493173538,2.738335503098853,4.53146038887762,0.0638,21.797,
"   186 Celuta",49.99,.1496390035684078,2.361818394324675,3.62976035807985,0.1929,19.842,
"   187 Lamberta",130.40,.2412562096647969,2.727550912674433,4.50471688232131,0.0566,10.670,
"   188 Menippe",38.61,.178351074277342,2.76168859449435,4.5895516510134,0.2431,11.98,
"   189 Phthia",37.66,.03710486369727538,2.450618864537494,3.83638214229991,0.2310,22.346,
"   191 Kolga",101.03,.09110564937630256,2.895086136611916,4.9260683879053,0.0408,17.604,
"   192 Nausikaa",103.26,.2458213780892484,2.402791581880717,3.72462329253925,0.2330,13.625,
"   194 Prokne",168.42,.2380989621810301,2.615808905848348,4.23074863837267,0.0528,15.679,
"   195 Eurykleia",85.71,.04420530513891657,2.876419424940515,4.87850238557655,0.0599,16.521,
"   196 Philomela",136.39,.01753045945885652,3.117672582317482,5.50495733972041,0.2299,8.3340,
"   197 Arete",29.18,.1640142704162927,2.738994143331457,4.53309538662483,0.4417,6.6084,
"   198 Ampella",57.16,.2278834368969067,2.458943665028232,3.85594713289451,0.2517,10.379,
"   200 Dynamene",128.36,.1332009856481726,2.737419921931462,4.52918789179103,0.0533,37.394,
"   201 Penelope",68.39,.1811322989504376,2.677374837786906,4.38098704129227,0.1604,3.7474,
"   202 Chryseis",86.15,.1024350014207365,3.071336792110374,5.38268996331432,0.2562,23.670,
"   203 Pompeja",116.25,.05848969649181658,2.736717130865939,4.52744380325235,0.0410,24.052,
"   204 Kallisto",48.57,.1750355673846711,2.669738328897836,4.36225698959777,0.2082,19.489,
"   205 Martha",80.58,.03557093635275115,2.77706003988188,4.62792280482443,0.0553,14.911,
"   206 Hersilia",113,.03737863005356441,2.740547915215882,4.53695322343801,,11.122,
"   207 Hedda",58.70,.02889401186065478,2.283686608442312,3.45114304101353,0.0552,30.098,
"   208 Lacrimosa",41.33,.01302841923299694,2.893201334547501,4.9212586074161,0.2696,14.085,
"   209 Dido",159.94,.05756520294963025,3.149741253597086,5.59011214136343,0.0349,5.7366,
"   210 Isabella",86.65,.1225725532656451,2.722973718979178,4.49338236853369,0.0436,6.672,
"   211 Isolda",143.19,.1612864013914389,3.042054293268248,5.3058949053086,0.0602,18.365,
"   212 Medea",136.12,.1047760947687437,3.1157501342816,5.49986634834832,0.0465,10.283,
"   213 Lilaea",83.01,.1461307424383823,2.751718221000596,4.56471998541203,0.0897,8.045,
"   214 Aschera",23.16,.03176199564107889,2.610847854286559,4.21871851231159,0.5220,6.835,
"   215 Oenone",35.51,.03625718674723693,2.765915458747533,4.60009239382202,0.2044,27.937,
"   216 Kleopatra",124,.2506176514511437,2.793378774313076,4.66877500837549,0.1164,5.385,
"   217 Eudora",66.24,.3093694547624871,2.868105700104741,4.85736714777964,0.0484,25.272,
"   218 Bianca",60.62,.1169592142808254,2.667192955566437,4.35601990327995,0.1746,6.337,
"   219 Thusnelda",40.56,.2228142937430449,2.354878570670612,3.61377391496594,0.2009,59.74,
"   220 Stephania",31.12,.2584431630591576,2.347704714740723,3.59727310282462,0.0726,18.198,
"   221 Eos",103.87,.1044704687890955,3.010442210680413,5.22340432641634,0.1400,10.443,
"   222 Lucia",54.66,.1310505012463565,3.141248383514693,5.56751786710858,0.1318,7.80,
"   223 Rosa",87.61,.1158554324186827,3.09552142206653,5.44639233674312,0.0309,20.283,
"   224 Oceana",61.82,.04318206148747273,2.64507998856949,4.30196048623182,0.1694,9.401,
"   226 Weringia",33.83,.2031556163219113,2.712613850720136,4.46776338592292,0.2035,11.147,
"   227 Philosophia",87.31,.19079006405514,3.163660953229666,5.62720975452842,0.0768,52.98,
